OBJECTID__;Shape__;maTinh;tenXa;maXa;danSo;dienTich;ORIG_FID;POINT_X;POINT_Y;NDVI_HCM_B;LST_HCM_BD;TDVI_HCM_B
144;Point;701;Xa Cu Chi;70135151;128661;64.88;144;106,53284300000;10,95184700000;0,46120000000;35,57000000000;0,98040807830
145;Point;701;Phuong Trung My Tay;70123095;12647;6.93;145;106,62242800000;10,86013900000;0,27670000000;32,95000000000;0,88130584929
146;Point;701;Phuong Tan Son Nhi;70128125;117277;3.46;146;106,63185300000;10,79903100000;0,07600000000;34,61000000000;0,75894663844
147;Point;701;Xa Chau Pha;71709012;25438;65.64;147;107,13166900000;10,58615700000;0,72520000000;;1,10688752816
148;Point;701;Phuong Tan Thanh;71709009;83758;48.42;148;107,13311900000;10,65579900000;0,66510000000;;1,07939798036
149;Point;701;Xa Thanh An;71113062;25324;136.72;149;106,42096800000;11,26302800000;0,59730000000;33,57000000000;1,04752088285
150;Point;701;Phuong Duc Nhuan;70131115;71495;2.17;150;106,67689600000;10,80548500000;;;
151;Point;701;Xa Thanh An;70143168;30682;85.97;151;106,97503300000;10,53327800000;0,39840000000;;0,94783964889
152;Point;701;Xa Phuoc Thanh;71111054;15803;123.49;152;106,75842600000;11,39207600000;;;
153;Point;701;Phuong Hanh Thong;70125109;128865;3.37;153;106,68276500000;10,82130300000;0,21780000000;;0,84723078320
154;Point;701;Phuong Hoa Loi;71103045;79694;34.24;154;106,64975100000;11,08172300000;0,64020000000;33,63000000000;1,06780147968
155;Point;701;Phuong Tan Phuoc;71709010;29363;83.62;155;107,05465200000;10,53110300000;;;
156;Point;701;Phuong Cho Quan;70109073;63545;1.28;156;106,68071800000;10,75738300000;;;
157;Point;701;Phuong Tan Hiep;71105043;142494;47.06;157;106,74669900000;11,05637100000;;;
158;Point;701;Phuong Binh Tan;70134101;161851;11.25;158;106,59218300000;10,80535200000;0,58990000000;33,87000000000;1,04398275848
159;Point;701;Phuong Xom Chieu;70107070;57875;1.94;159;106,71199100000;10,76019000000;;;
160;Point;701;Phuong Tan Son Hoa;70127118;6415;2.62;160;106,66653100000;10,80733300000;;;
161;Point;701;Xa Long Son;71701164;17767;56.5;161;107,10032500000;10,45132800000;;;
162;Point;701;Xa Phuoc Hai;71712023;43615;70.04;162;107,29979900000;10,45000600000;;;
163;Point;701;Xa Long Hoa;71113060;13309;52.67;163;106,50146700000;11,33134600000;0,50670000000;33,87000000000;1,00334440747
164;Point;701;Phuong Long Nguyen;71115048;53387;108;164;106,55924200000;11,18357700000;0,72580000000;32,95000000000;1,10715852523
165;Point;701;Phuong Thoi Hoa;71103167;79601;37.93;165;106,62329600000;11,10407300000;0,56910000000;33,65000000000;1,03397292034
166;Point;701;Xa Tan An Hoi;70135152;84342;53.51;166;106,46860400000;10,97166500000;0,54050000000;30,55000000000;1,02004901843
167;Point;701;Phuong Chanh Hiep;71101037;57176;19.89;167;106,64018500000;11,01172000000;0,57990000000;33,81000000000;1,03918237091
168;Point;701;Phuong Phu Lam;70111079;87513;2;168;106,63040600000;10,75289000000;0,58430000000;30,79000000000;1,04129726783
